"","movie_id","top_genre"
"1017",14821,"Adventure"
"1018",17538,"Adventure"
"1019",5725,"Comedy"
"1020",31671,"Action"
"1021",97831,"Drama"
"1022",39154,"Horror"
"1023",20187,"Action"
"1024",35711,"Comedy"
"1025",10711,"Action"
"1026",19174,"Action"
"1027",29473,"Comedy"
"1028",4990,"Crime"
"1029",3121,"Drama"
"1030",12223,"Mystery"
"1031",13282,"Action"
"1032",4917,"Drama"
"1033",22094,"Drama"
"1034",32620,"Thriller"
"1035",8043,"Thriller"
"1036",18710,"Crime"
"1037",1835,"Crime"
"1038",84259,"Comedy"
"1039",4704,"Comedy"
"1040",31604,"Crime"
"1041",983,"Adventure"
"1042",1359660,NA
"1043",1612565,"Comedy"
"1044",1610155,"Action"
"1045",1599772,NA
"1046",1595776,NA
"1047",1595214,NA
"1048",1593931,"Drama"
"1049",1589334,"Comedy"
"1050",1589013,NA
"1051",1587802,NA
"1052",1586990,NA
"1053",1584913,NA
"1054",1583327,NA
"1055",1583321,NA
"1056",1583232,"Family"
"1057",1577777,"Animation"
"1058",1574813,"Animation"
"1059",1567170,"Documentary"
"1060",1563519,NA
"1061",1563070,"Horror"
"1062",1560131,NA
"1063",1560130,NA
"1064",1558453,"Animation"
"1065",1557015,"Music"
"1066",1551259,NA
"1067",1551258,NA
"1068",1549093,NA
"1069",1549078,NA
"1070",1548464,NA
"1071",1546333,NA
"1072",1542010,NA
"1073",1538276,NA
"1074",1537108,"Animation"
"1075",1534609,"Animation"
"1076",1532757,NA
"1077",1531128,NA
"1078",1529252,"Documentary"
"1079",1524693,"Documentary"
"1080",1518260,NA
"1081",1515463,NA
"1082",1503201,NA
"1083",1500273,"Animation"
"1084",1500250,NA
"1085",1500244,NA
"1086",1498973,"Documentary"
"1087",1498185,NA
"1088",1485937,"Family"
"1089",1485319,NA
"1090",1479152,"Horror"
"1091",1476950,NA
"1092",1471576,"Drama"
"1093",1470655,NA
"1094",1469093,NA
"1095",1468314,NA
"1096",1466836,NA
"1097",1465599,"Crime"
"1098",1462255,NA
"1099",1461157,NA
"1100",1461037,NA
"1101",1459920,"Family"
"1102",1455117,"Drama"
"1103",1452627,NA
"1104",1447834,NA
"1105",1447783,"Comedy"
"1106",1445016,NA
"1107",1445013,NA
"1108",1444149,NA
"1109",1436291,NA
"1110",1434618,NA
"1111",1434616,NA
"1112",1431889,NA
"1113",1427617,NA
"1114",1423675,"Documentary"
"1115",1421300,NA
"1116",1421014,"Animation"
